Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21490 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21491 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21492 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21493 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21494 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21495 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21496 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21497 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21498 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21499 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
Search +| 1012 +| 50 +| 200 +| 50 +| true +| true +| true +| 300.00000 +| 2.42724e-10 +| 7.38546e-11 +| 1.82977e-10 +| 0.41000 +| 0.54000 +| 0.22000 +| 2.2 +| 0.00000e+00 +| 9.58767e-08 +| 9.58767e-08 +| 1.00000e+10 +| -1.00000e+00 +| 0.21500 +| 0.00000 +| 1 +| 1 +| 1 +| 1 +| -1 +| 100000000 +| 10000000 +| 1000000 +| 7.0.1 +| M1_v7.0.1.exe +| Ax = 5.85E-10 / (14 ^ (1 / 3))\n\Ay = 1.78E-10 / (14 ^ (1 / 3))\n\Az = 4.41E-10 / (14 ^ (1 / 3))
